EPY,20090212,0.13,0.13,0.13,0.13,3395
EQN,20090212,1.935,2.05,1.93,1.99,249290
EQT,20090212,12.25,12.5,12.25,12.5,614
ERA,20090212,19,19.49,19,19.47,212806
ERG,20090212,0.008,0.009,0.008,0.008,535406
ERH,20090212,0.215,0.23,0.21,0.23,375921
ERJ,20090212,0.005,0.005,0.005,0.005,200000
ERM,20090212,0.065,0.065,0.06,0.06,59860
ESG,20090212,0.58,0.595,0.57,0.58,1608635
ESI,20090212,0.016,0.018,0.016,0.018,38000
ESN,20090212,0.003,0.003,0.003,0.003,800705
ESS,20090212,0.2,0.2,0.2,0.2,81778
ESV,20090212,0.6,0.605,0.56,0.605,33000
ETC,20090212,0.22,0.22,0.22,0.22,942666
ETT,20090212,0.002,0.002,0.002,0.002,7914435
EUG,20090212,0.12,0.12,0.12,0.12,100000
EVE,20090212,0.01,0.01,0.01,0.01,30000
EVG,20090212,0.035,0.035,0.035,0.035,90000
EWC,20090212,0.225,0.235,0.225,0.23,2634784
EXM,20090212,0.011,0.012,0.011,0.011,5231592
EXS,20090212,0.105,0.105,0.1,0.1,139500
EXT,20090212,1.585,1.65,1.585,1.62,296884
FAC,20090212,0.015,0.015,0.015,0.015,23612
FAR,20090212,0.068,0.07,0.063,0.065,4292346
FAS,20090212,0.027,0.027,0.026,0.026,25450
FBU,20090212,4.5,4.5,4.41,4.47,96814
FCL,20090212,0.345,0.35,0.32,0.32,3704787
FCN,20090212,0.073,0.073,0.072,0.072,50000
FCP,20090212,0.006,0.007,0.006,0.007,1069331
FEA,20090212,0.2,0.205,0.19,0.19,80500
FGE,20090212,0.26,0.26,0.25,0.25,83341
FGL,20090212,5.4,5.55,5.37,5.45,11918161
FKP,20090212,0.37,0.4,0.37,0.39,1210628
FLK,20090212,0.48,0.48,0.48,0.48,40000
FLT,20090212,6.15,6.34,6.12,6.25,178295
FLX,20090212,8.35,8.67,8.25,8.4,226851
FMG,20090212,2.39,2.68,2.36,2.56,28377169
FML,20090212,0.024,0.029,0.024,0.027,18569395
FMS,20090212,0.065,0.07,0.063,0.064,15111691
FND,20090212,0.21,0.21,0.21,0.21,5000
FNT,20090212,0.016,0.016,0.016,0.016,2070
FPA,20090212,0.84,0.84,0.84,0.84,166700
FPH,20090212,2.75,2.75,2.73,2.74,7303
FPS,20090212,1.15,1.15,1.15,1.15,9000
FRI,20090212,0.56,0.56,0.56,0.56,12000
FRR,20090212,0.11,0.13,0.11,0.13,25000
FRS,20090212,0.21,0.22,0.21,0.22,10000
FSA,20090212,0.18,0.18,0.18,0.18,70611
FSE,20090212,0.012,0.012,0.012,0.012,173620
FSN,20090212,0.53,0.53,0.53,0.53,231
FTE,20090212,0.059,0.06,0.056,0.06,2946270
FUN,20090212,0.145,0.145,0.145,0.145,41833
FWD,20090212,4.09,4.33,4.09,4.15,288456
FXJ,20090212,1.145,1.18,1.115,1.115,7381012
FXL,20090212,0.365,0.365,0.34,0.35,47217
FXR,20090212,0.16,0.165,0.145,0.15,367690
GBE,20090212,0.095,0.095,0.092,0.092,15000
GBG,20090212,0.62,0.65,0.615,0.625,561535
GBI,20090212,0.22,0.22,0.22,0.22,25000
