Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:REIT,"VanEck FTSE International Property (Hedged) ETF (ASX:REIT)",https://www.listcorp.com/asx/reit/vaneck-ftse-international-property-hedged-etf,"	355746000",15.83,-0.13,-0.81,Unclassified
ASX:IZZ,"iShares China Large-Cap ETF (ASX:IZZ)",https://www.listcorp.com/asx/izz/ishares-china-large-cap-etf,"	354572000",38.41,-0.04,-0.1,Unclassified
ASX:ERA,"Energy Resources of Australia Ltd (ASX:ERA)",https://www.listcorp.com/asx/era/energy-resources-of-australia,"	354373000",0.015,-0.00,-6.25,Energy
ASX:BRN,"Brainchip Holdings Ltd (ASX:BRN)",https://www.listcorp.com/asx/brn/brainchip-holdings,"	352655000",0.175,-0.01,-2.78,"Information Technology"
ASX:IGB,"iShares Treasury ETF (ASX:IGB)",https://www.listcorp.com/asx/igb/ishares-treasury-etf,"	352159000",99.37,1.05,1.07,Unclassified
ASX:PAI,"Platinum Asia Investments Limited (ASX:PAI)",https://www.listcorp.com/asx/pai/platinum-asia-investments-limited,"	351299000",0.92,-0.03,-3.16,Financials
ASX:ACF,"Acrow Limited (ASX:ACF)",https://www.listcorp.com/asx/acf/acrow-limited,"	348112000",1.115,-0.04,-3.46,Industrials
ASX:VAE,"Vanguard FTSE Asia Ex Japan Shares Index ETF (ASX:VAE)",https://www.listcorp.com/asx/vae/vanguard-ftse-asia-ex-japan-shares-index-etf,"	345028000",71.6,-2.60,-3.5,Unclassified
ASX:RHI,"Red Hill Minerals Limited (ASX:RHI)",https://www.listcorp.com/asx/rhi/red-hill-minerals-limited,"	344365000",5.25,-0.12,-2.23,Materials
ASX:VISM,"Vanguard MSCI International Small Companies Index ETF (ASX:VISM)",https://www.listcorp.com/asx/vism/vanguard-msci-international-small-companies-index-etf,"	343480000",62.97,-1.36,-2.11,Unclassified
ASX:EOS,"Electro Optic Systems Holdings Limited (ASX:EOS)",https://www.listcorp.com/asx/eos/electro-optic-systems-holdings-limited,"	343455000",1.585,-0.20,-10.96,Industrials
ASX:MYX,"Mayne Pharma Group Limited (ASX:MYX)",https://www.listcorp.com/asx/myx/mayne-pharma-group-limited,"	342849000",3.83,-0.20,-4.96,"Health Care"
ASX:RXM,"Rex Minerals Ltd (ASX:RXM)",https://www.listcorp.com/asx/rxm/rex-minerals,"	342842000",0.4425,0.00,0.57,Materials
