ASX Listed Companies (1 May 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
AWY,Australian Whisky Holdings Ltd,Consumer Staples,"46,284,900",0.002,,,
AX1,Accent Group Ltd,Consumer Discretionary,"639,757,000",0.033,,,
AX8,Accelerate Resources Ltd,Materials,"1,190,500",0,,,
AXE,Archer Materials Ltd,Materials,"39,297,600",0.002,,,
AXI,Axiom Properties Ltd,Real Estate,"12,981,400",0.001,,,
AXT,Argo Exploration Ltd,Materials,"2,561,580",0,,,
AYF,Australian Enhanced Income Fund,,"17,877,900",0.001,,,
AYI,A1 Investments & Resources Ltd,Financials,"30,612,500",0.002,,,
AYM,Australia United Mining Ltd,Materials,"3,685,160",0,,,
AYR,Alloy Resources Ltd,Materials,"5,505,750",0,,,
AYS,Amaysim Australia Ltd,,"92,959,800",0.005,,,
AZI,Alta ZINC Ltd,Materials,"8,808,600",0,,,
AZJ,Aurizon Holdings Ltd,Industrials,"8,988,810,000",0.467,,,
AZS,AZURE Minerals Ltd,Materials,"13,462,000",0.001,,,
AZT,AZURE Health Tech,Information Technology,0,0,,,
AZV,AZURE Healthcare Ltd,Health Care,"19,893,200",0.001,,,
AZY,Antipa Minerals Ltd,Materials,"41,540,500",0.002,,,
B2Y,Bounty Mining Ltd,Materials,"9,542,960",0,,,
BAF,Blue Sky Alternatives Access Fund Ltd,,"141,280,000",0.007,,,
BAP,Bapcor Ltd,Consumer Discretionary,"1,613,650,000",0.084,,,
BAR,Barra Resources Ltd,Materials,"10,140,800",0.001,,,
BAS,Bass Oil Ltd,Energy,"3,342,140",0,,,
BAT,Battery Minerals Ltd,Materials,"7,908,550",0,,,
BBC,BNK Banking Corporation Ltd,Financials,"37,708,200",0.002,,,
BBL,Brisbane Broncos Ltd,Communication Services,"37,255,400",0.002,,,
BBN,Baby Bunting Group Ltd,Consumer Discretionary,"348,251,000",0.018,,,
BBOZ,Betashares Australian Equities Strongbearhedgefund,,"292,222,000",0.015,,,
BBUS,Betashares US EQ Strong Bear Hdge FND-CRNCY Hdged,,"161,876,000",0.008,,,
BBX,BBX Minerals Ltd,Materials,"45,907,600",0.002,,,
BC8,Black Cat Syndicate Ltd,Materials,"33,671,800",0.002,,,
BCB,Bowen Coking Coal Ltd,Materials,"39,384,400",0.002,,,
BCC,Beam Communications Holdings Ltd,Information Technology,"9,781,590",0.001,,,
BCI,BCI Minerals Ltd,Materials,"55,850,000",0.003,,,
BCK,Brockman Mining Ltd,Materials,"185,585,000",0.01,,,
BCL,Bunji Corporation Ltd,Energy,"10,879,600",0.001,,,
BCN,Beacon Minerals Ltd,Materials,"114,345,000",0.006,,,
BCT,Bluechiip Ltd,Information Technology,"36,769,000",0.002,,,
BD1,BARD1 Life Sciences Ltd,Health Care,"34,179,600",0.002,,,
BDA,Bod Australia Ltd,Consumer Discretionary,"24,669,800",0.001,,,
BDC,Bardoc Gold Ltd,Materials,"94,908,600",0.005,,,
BDG,Black Dragon Gold Corp,Materials,"6,939,620",0,,,
BDI,Blina Minerals NL,Materials,"6,268,770",0,,,
BEAR,Betashares Australian Equities Bear Hedge Fund,,"118,465,000",0.006,,,
BEE,Broo Ltd,Consumer Staples,"9,754,250",0.001,,,
BEL,Bentley Capital Ltd,,"2,131,580",0,,,
BEM,Blackearth Minerals NL,Materials,"3,296,010",0,,,
BEN,Bendigo and Adelaide Bank Ltd,Financials,"3,465,850,000",0.18,,,
BET,Betmakers Technology Group Ltd,Consumer Discretionary,"132,705,000",0.007,,,
BFC,Beston Global Food Company Ltd,Consumer Staples,"35,330,800",0.002,,,
BFG,Bell Financial Group Ltd,Financials,"359,233,000",0.019,,,
BGA,Bega Cheese Ltd,Consumer Staples,"1,037,880,000",0.054,,,
BGL,Bellevue Gold Ltd,Materials,"388,769,000",0.02,,,
BGP,Briscoe Group Australasia Ltd,Consumer Discretionary,"744,432,000",0.039,,,
BGT,Bio-Gene Technology Ltd,Materials,"24,580,400",0.001,,,
BHD,Benjamin Hornigold Ltd,,"17,150,200",0.001,,,
BHL,Boyuan Holdings Ltd,Real Estate,"41,175,600",0.002,,,
BHP,BHP Group Ltd,Materials,"95,298,300,000",4.953,,,
BID,Bidenergy Ltd,Information Technology,"107,188,000",0.006,,,
BILL,Ishares Core Cash ETF,,"490,629,000",0.025,,,
BIN,Bingo Industries Ltd,Industrials,"1,536,460,000",0.08,,,
BIQ,"Buildingiq, Inc",Information Technology,"1,494,690",0,,,
BIR,BIR Financial Ltd,Financials,"3,927,650",0,,,
BIS,Bisalloy Steel Group Ltd,Materials,"45,872,200",0.002,,,
BIT,Biotron Ltd,Health Care,"68,789,400",0.004,,,
BKI,BKI Investment Company Ltd,,"1,003,980,000",0.052,,,
BKL,Blackmores Ltd,Consumer Staples,"1,318,900,000",0.069,,,
BKT,Black Rock Mining Ltd,Materials,"20,126,200",0.001,,,
BKW,Brickworks Ltd,Materials,"2,046,650,000",0.106,,,
BKY,Berkeley Energia Ltd,Energy,"50,428,100",0.003,,,
BLA,Blue Sky Alternative Investments Ltd,Financials,"14,376,600",0.001,,,
BLD,Boral Ltd,Materials,"3,701,470,000",0.192,,,
BLG,Bluglass Ltd,Information Technology,"16,311,000",0.001,,,
BLK,Blackham Resources Ltd,Materials,"109,245,000",0.006,,,
BLU,Blue Energy Ltd,Energy,"23,885,200",0.001,,,
BLV,Blossomvale Holdings Ltd,Energy,"15,360,300",0.001,,,
BLX,Beacon Lighting Group Ltd,Consumer Discretionary,"158,544,000",0.008,,,
BLY,Boart Longyear Ltd,Materials,"61,427,700",0.003,,,
BLZ,BLAZE International Ltd,Energy,"2,100,000",0,,,
BMG,BMG Resources Ltd,Materials,"1,170,300",0,,,
BMH,Baumart Holdings Ltd,Industrials,"28,949,000",0.002,,,
BMN,Bannerman Resources Ltd,Energy,"45,527,600",0.002,,,
BNDS,Betashares Legg Mason Australian Bond Fund (Managed Fund),,"114,186,000",0.006,,,
BNKS,Betashares Global Banks ETF - Currency Hedged,,"19,997,400",0.001,,,
BNL,Big Star Energy Ltd,Energy,"3,668,740",0,,,
BNO,Bionomics Ltd,Health Care,"23,966,200",0.001,,,
BNR,Bulletin Resources Ltd,Materials,"8,606,070",0,,,
BOA,Boadicea Resources Ltd,Materials,"10,841,200",0.001,,,
BOC,Bougainville Copper Ltd,Materials,"100,266,000",0.005,,,
BOE,Boss Resources Ltd,Materials,"111,118,000",0.006,,,
BOL,Boom Logistics Ltd,Industrials,"36,788,600",0.002,,,
BOND,SPDR S&P/ASX Australian Bond Fund,,"45,797,100",0.002,,,
BOQ,Bank of Queensland Ltd,Financials,"2,367,090,000",0.123,,,
BOT,Botanix Pharmaceuticals Ltd,Health Care,"45,716,800",0.002,,,
BPH,BPH Energy Ltd,Health Care,"2,673,170",0,,,
BPL,Broken Hill Prospecting Ltd,Materials,"3,562,050",0,,,
BPP,Babylon Pump & Power Ltd,Industrials,"12,560,700",0.001,,,
BPT,Beach Energy Ltd,Energy,"3,466,830,000",0.18,,,
BRB,Breaker Resources NL,Materials,"46,264,000",0.002,,,
BRG,Breville Group Ltd,Consumer Discretionary,"2,290,290,000",0.119,,,
BRI,Big River Industries Ltd,Materials,"83,083,700",0.004,,,
BRK,Brookside Energy Ltd,Energy,"5,008,610",0,,,
BRL,Bathurst Resources Ltd,Materials,"100,862,000",0.005,,,
BRN,Brainchip Holdings Ltd,Information Technology,"72,778,100",0.004,,,
BRU,Buru Energy Ltd,Energy,"38,886,700",0.002,,,
BRV,Big River Gold Ltd,Materials,"31,631,200",0.002,,,
BSA,BSA Ltd,Industrials,"121,013,000",0.006,,,
BSE,Base Resources Ltd,Materials,"152,309,000",0.008,,,
BSL,Bluescope Steel Ltd,Materials,"5,151,990,000",0.268,,,
BSM,Bass Metals Ltd,Materials,"11,239,500",0.001,,,
BSP,Black Star Petroleum Ltd,Energy,"1,295,030",0,,,
BSR,Bassari Resources Ltd,Materials,"31,040,800",0.002,,,
BSX,Blackstone Minerals Ltd,Materials,"40,347,400",0.002,,,
