ASX Listed Companies (1 October 2019),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
BKM,BKM Management Limited,Industrials,"3,644,070",0,,,
BKT,Black Rock Mining,Materials,"39,843,300",2,,,
BKW,Brickworks Limited,Materials,"2,643,470,000",116,,,
BKY,Berkeley Energia Limited,Energy,"67,203,600",3,,,
BLA,Blue Sky Limited,Financials,"14,376,600",1,,,
BLD,Boral Limited,Materials,"5,662,360,000",249,,,
BLG,Bluglass Limited,Information Technology,"60,671,900",3,,,
BLK,Blackham Resources,Materials,"48,479,700",2,,,
BLT,Benitec Biopharma,Health Care,"17,992,100",1,,,
BLU,Blue Energy Limited,Energy,"55,732,000",2,,,
BLX,Beacon Lighting Group,Consumer Discretionary,"256,481,000",11,,,
BLY,Boart Longyear,Materials,"157,777,000",7,,,
BLZ,BLAZE International,Energy,"5,250,000",0,,,
BMG,BMG Resources Limited,Materials,"2,875,740",0,,,
BMH,Baumart Holdings Limited,Industrials,"33,291,300",1,,,
BMN,Bannerman Resources,Energy,"46,871,400",2,,,
BMP,Buymyplace Limited,Real Estate,"4,725,600",0,,,
BNDS,Beta LM Aus Bond ETF Units FP,,"102,415,000",4,,,
BNKS,Beta Global Banks ETF Units FP,,"47,907,500",2,,,
BNL,Big Star Energy Limited,Energy,"2,347,990",0,,,
BNO,Bionomics Limited,Health Care,"73,532,600",3,,,
BNR,Bulletin Res Limited,Materials,"4,482,330",0,,,
BOA,Boadicea Resources,Materials,"11,119,100",0,,,
BOC,Bougainville Copper 1 Kina,Materials,"46,122,200",2,,,
BOE,Boss Resources Limited,Materials,"95,064,200",4,,,
BOL,Boom Logistics,Industrials,"72,467,000",3,,,
BOND,SPDR Aust BOND ETF Units FP,,"45,696,300",2,,,
BOQ,Bank of Queensland,Financials,"4,025,390,000",177,,,
BOT,Botanix Pharma Limited,Health Care,"241,126,000",11,,,
BPG,Byte Power Group,Consumer Discretionary,"27,585,600",1,,,
