Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:CMP,"Compumedics Limited (ASX:CMP)",https://www.listcorp.com/asx/cmp/compumedics,"	61509700",0.345,0.02,7.81,"Health Care"
ASX:NUZ,"Neurizon Therapeutics Limited (ASX:NUZ)",https://www.listcorp.com/asx/nuz/neurizon-therapeutics-limited,"	61491200",0.11,-0.01,-4.35,"Health Care"
ASX:COB,"Cobalt Blue Holdings Limited (ASX:COB)",https://www.listcorp.com/asx/cob/cobalt-blue-holdings-limited,"	61413100",0.11,-0.01,-8.33,Materials
ASX:NXD,"NextEd Group Limited (ASX:NXD)",https://www.listcorp.com/asx/nxd/nexted-group-limited,"	61176400",0.27,-0.01,-1.82,"Consumer Discretionary"
ASX:TGP,"360 Capital Group (ASX:TGP)",https://www.listcorp.com/asx/tgp/360-capital-group,"	61030000",0.31,0.00,0,Financials
ASX:CLE,"Cyclone Metals Limited (ASX:CLE)",https://www.listcorp.com/asx/cle/cyclone-metals-limited,"	60828300",0.052,-0.00,-5.45,Materials
ASX:SHM,"Shriro Holdings Limited (ASX:SHM)",https://www.listcorp.com/asx/shm/shriro-holdings-limited,"	60759800",0.76,-0.02,-2.56,"Consumer Discretionary"
ASX:EXR,"Elixir Energy Limited (ASX:EXR)",https://www.listcorp.com/asx/exr/elixir-energy-limited,"	60613800",0.041,-0.00,-4.65,Energy
ASX:GOAT,"VanEck Morningstar International Wide Moat ETF (ASX:GOAT)",https://www.listcorp.com/asx/goat/vaneck-morningstar-international-wide-moat-etf,"	60486900",28.97,-0.15,-0.52,Unclassified
ASX:JAL,"Jameson Resources Limited (ASX:JAL)",https://www.listcorp.com/asx/jal/jameson-resources-limited,"	60412300",0.085,0.00,0,Materials
ASX:FFI,"FFI Holdings Limited (ASX:FFI)",https://www.listcorp.com/asx/ffi/ffi-holdings-limited,"	60254300",4.3,-0.20,-4.44,"Consumer Staples"
ASX:INCM,"BetaShares Global Income Leaders ETF (ASX:INCM)",https://www.listcorp.com/asx/incm/betashares-global-income-leaders-etf,"	60241300",19.52,0.05,0.26,Unclassified
ASX:DCOR,"Daintree Core Income Active ETF (ASX:DCOR)",https://www.listcorp.com/asx/dcor/daintree-core-income-active-etf,"	60195200",51.73,-0.01,-0.02,Unclassified
ASX:RWL,"Rubicon Water Limited (ASX:RWL)",https://www.listcorp.com/asx/rwl/rubicon-water-limited,"	60173800",0.245,-0.01,-2,"Information Technology"
ASX:SWTZ,"Switzer Dividend Growth Fund (Quoted Managed Fund) (ASX:SWTZ)",https://www.listcorp.com/asx/swtz/switzer-dividend-growth-fund-quoted-managed-fund,"	59888300",2.42,-0.02,-0.82,Unclassified
ASX:EGG,"Enero Group Limited (ASX:EGG)",https://www.listcorp.com/asx/egg/enero-group-limited,"	59885200",0.7,0.04,6.06,"Communication Services"
ASX:FOOD,"BetaShares Global Agriculture Companies ETF - Currency Hedged (ASX:FOOD)",https://www.listcorp.com/asx/food/betashares-global-agriculture-companies-etf-currency-hedged,"	59840900",7.01,0.00,0,Unclassified
ASX:DVL,"dorsaVi Ltd (ASX:DVL)",https://www.listcorp.com/asx/dvl/dorsavi-ltd,"	59646900",0.046,-0.01,-13.21,"Health Care"
ASX:M79,"Mammoth Minerals Limited (ASX:M79)",https://www.listcorp.com/asx/m79/mammoth-minerals-limited,"	59343400",0.1075,-0.01,-10.42,Materials
ASX:SRZ,"Stellar Resources Limited (ASX:SRZ)",https://www.listcorp.com/asx/srz/stellar-resources-limited,"	59159800",0.025,-0.00,-3.85,Materials
ASX:RSM,"Russell Investments Australian Semi-Government Bond ETF (ASX:RSM)",https://www.listcorp.com/asx/rsm/russell-investments-australian-semi-government-bond-etf,"	58851900",20.9,0.01,0.05,Unclassified
ASX:MTC,"MetalsTech Limited (ASX:MTC)",https://www.listcorp.com/asx/mtc/metalstech-limited,"	58844600",0.24,-0.02,-9.43,Materials
