CGO,20191119,0.16,0.175,0.16,0.175,9239
CGR,20191119,0.46,0.465,0.455,0.465,200876
CGS,20191119,0.35,0.35,0.35,0.35,7960
CHC,20191119,10.76,10.93,10.68,10.89,1762891
CHK,20191119,0.014,0.014,0.013,0.013,3292339
CHN,20191119,0.165,0.165,0.165,0.165,216613
CHZ,20191119,0.07,0.071,0.07,0.071,237093
CI1,20191119,0.013,0.013,0.013,0.013,152000
CIA,20191119,1.995,2.04,1.985,2.01,521387
CIE,20191119,0.865,0.865,0.865,0.865,10000
CIM,20191119,33.45,33.62,33.02,33.31,1148485
CIN,20191119,31.9,32.2,31.8,32.19,985
CIO,20191119,0.004,0.004,0.004,0.004,5193880
CIP,20191119,3.57,3.68,3.56,3.67,472064
CKA,20191119,0.047,0.047,0.046,0.046,242535
CKF,20191119,9.26,9.52,9.26,9.41,519732
CL1,20191119,2.05,2.15,2.05,2.14,702829
CL8,20191119,0.016,0.016,0.016,0.016,1200000
CLA,20191119,0.013,0.013,0.013,0.013,534212
CLB,20191119,0.061,0.061,0.061,0.061,126826
CLH,20191119,1.205,1.21,1.195,1.195,240320
CLQ,20191119,0.26,0.26,0.245,0.245,977309
CLV,20191119,3.14,3.16,3.07,3.09,138958
CLW,20191119,5.35,5.5,5.35,5.48,2111934
CLX,20191119,0.75,0.775,0.75,0.775,12835
CLZ,20191119,0.003,0.003,0.003,0.003,2473000
CM8,20191119,0.029,0.03,0.029,0.03,715120
CMA,20191119,3.09,3.19,3.09,3.15,1199697
CML,20191119,0.023,0.023,0.023,0.023,40700
CMM,20191119,0.195,0.205,0.19,0.205,980549
CMP,20191119,0.8,0.85,0.8,0.85,236301
CMW,20191119,1.255,1.265,1.245,1.265,7281335
CNB,20191119,0.081,0.081,0.081,0.081,4000
CNI,20191119,2.08,2.11,2.07,2.1,571752
CNU,20191119,5,5.27,4.97,5.26,1664662
CNW,20191119,0.042,0.044,0.042,0.044,657971
COB,20191119,0.14,0.14,0.135,0.135,73678
COE,20191119,0.555,0.56,0.545,0.55,1925118
COG,20191119,0.091,0.093,0.091,0.093,313689
COH,20191119,224,227.39,222.92,227.39,133505
COI,20191119,0.21,0.21,0.2,0.205,356605
COL,20191119,15.64,15.77,15.56,15.72,1780744
COO,20191119,0.071,0.075,0.069,0.074,286087
COY,20191119,0.007,0.007,0.007,0.007,171604
CP1,20191119,0.125,0.13,0.125,0.13,21500
CPU,20191119,16.69,16.825,16.61,16.81,2080971
CPV,20191119,0.15,0.15,0.145,0.15,253411
CQE,20191119,3.55,3.6,3.51,3.58,286839
